"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
87.708,205.79,0.29027,0.18872,330.37,-71.206,-65.237,0.30862,1.1896,9.8353e-09,7.963e-08,0.26541,0.26293,0.30322,1.6773e-05,120.909091,-4,98,0.68018
93.876,233.93,0.35541,0.25786,330.36,-72.247,-82.186,0.27234,1.1024,1.6745e-08,1.3388e-07,0.23314,0.23121,0.29855,2.7637e-05,146.363636,-4,98,0.76177
100.21,265.49,0.42363,0.3307,330.73,-72.17,-97.705,0.25689,1.0914,2.6537e-08,2.071e-07,0.21532,0.21374,0.3117,4.2129e-05,171.818182,-4,98,0.82553
105.29,293.14,0.49078,0.40263,330.71,-71.999,-114.36,0.25307,1.1208,3.9173e-08,2.9685e-07,0.20669,0.20527,0.3331,6.0051e-05,197.272727,-4,99,0.86151
110.94,318.63,0.56394,0.4797,330.78,-71.941,-125.65,0.25117,1.1256,5.4942e-08,3.961e-07,0.19578,0.19447,0.34422,8.077e-05,222.727273,-4,98,0.89899
115.67,345.75,0.63717,0.55747,330.76,-72.393,-140.85,0.26253,1.2196,7.7644e-08,5.3579e-07,0.19713,0.19582,0.38369,0.00010986,248.181818,-4,98,0.91795
121.13,372.7,0.7127,0.63528,330.87,-72.082,-153.61,0.26878,1.2715,1.0245e-07,6.6518e-07,0.19151,0.19022,0.40913,0.0001385,273.636364,-4,98,0.93097
124.88,394.55,0.78049,0.70452,330.83,-72.642,-166.64,0.28345,1.3781,1.3258e-07,8.2234e-07,0.19494,0.19361,0.45212,0.00017328,299.090909,-4,98,0.94816
129.33,415.31,0.8468,0.772,331.1,-72.827,-174.79,0.28361,1.3905,1.5776e-07,9.2441e-07,0.18599,0.18468,0.46172,0.00019826,324.545455,-4,98,0.95555
133.69,434.08,0.91292,0.83758,331.02,-73.267,-186,0.30109,1.4811,1.9518e-07,1.0777e-06,0.18848,0.18712,0.49917,0.00023609,350,-4,98,0.95614
48.716,140.46,0.11634,0.064362,329.3,-70.852,3.2595,0.29757,2.1516,1.2199e-09,1.6388e-08,0.37239,0.36462,0.42074,2.7184e-06,70,1,98,0.61028
50.026,176.32,0.15245,0.12622,329.16,-71.365,8.5758,0.1467,1.488,2.8758e-09,4.6769e-08,0.23308,0.22913,0.33438,6.6466e-06,95.454545,1,98,0.86937
52.651,211.36,0.19322,0.20852,328.71,-71.738,11.321,0.097062,1.1908,5.8179e-09,1.0393e-07,0.17168,0.16949,0.29508,1.3514e-05,120.909091,1,98,1.117
56.322,243.64,0.23227,0.29435,328.8,-72.133,12.997,0.079805,1.0617,9.9542e-09,1.8122e-07,0.14371,0.14226,0.28085,2.2706e-05,146.363636,1,99,1.2896
60.472,273.15,0.27172,0.38527,328.69,-72.264,11.887,0.072739,0.99135,1.5643e-08,2.7853e-07,0.12728,0.12629,0.27379,3.4621e-05,171.818182,1,99,1.4322
65.146,304.1,0.31181,0.48047,328.76,-72.672,9.6147,0.070942,0.97128,2.3476e-08,3.996e-07,0.11775,0.11701,0.27685,4.997e-05,197.272727,1,98,1.5502
70.192,335,0.35442,0.58268,328.78,-73.063,11.395,0.071355,0.96613,3.3956e-08,5.4188e-07,0.11044,0.10986,0.28113,6.9049e-05,222.727273,1,98,1.6397
75.181,365.77,0.39578,0.68267,328.84,-72.989,11.876,0.075088,1.0077,4.7828e-08,7.1078e-07,0.10799,0.10749,0.29655,9.2744e-05,248.181818,1,98,1.6991
80.727,394.46,0.43924,0.79004,328.59,-73.17,11.845,0.081543,1.0601,6.7237e-08,9.1269e-07,0.10744,0.10698,0.31317,0.00012354,273.636364,1,99,1.7678
85.499,421.3,0.47687,0.88352,328.73,-73.439,12.617,0.087452,1.1218,8.7812e-08,1.1009e-06,0.10702,0.10656,0.33085,0.00015379,299.090909,1,98,1.8011
90.491,446.93,0.51489,0.97642,328.59,-73.688,12.676,0.093887,1.1798,1.119e-07,1.2865e-06,0.1063,0.10584,0.34604,0.00018637,324.545455,1,98,1.8236
94.773,469.59,0.55023,1.0631,328.6,-73.751,13.572,0.1009,1.2535,1.3934e-07,1.4851e-06,0.10698,0.10651,0.36484,0.00022209,350,1,98,1.8613
30.701,95.824,0.11868,0.040211,324.63,-72.251,57.335,0.52001,4.8211,6.9569e-10,1.1501e-08,0.6044,0.59115,0.67785,1.7416e-06,70,5,99,0.37149
28.963,109.48,0.1561,0.097308,324.31,-72.311,67.036,0.23454,3.1666,2.2945e-09,4.7681e-08,0.36044,0.35349,0.48695,6.1219e-06,95.454545,5,99,0.63643
30.34,123.35,0.19478,0.17626,324.9,-72.152,75.957,0.14833,2.282,5.4122e-09,1.2034e-07,0.26296,0.25754,0.38665,1.4613e-05,120.909091,5,98,0.91498
33.601,139.2,0.23135,0.26135,325.16,-72.601,85.613,0.11307,1.7603,9.8716e-09,2.1725e-07,0.21519,0.21055,0.33205,2.6275e-05,146.363636,5,98,1.1201
37.467,155.56,0.26942,0.35732,325.6,-72.969,96.308,0.096613,1.4632,1.662e-08,3.5243e-07,0.18906,0.18502,0.30347,4.3202e-05,171.818182,5,99,1.3078
41.688,172.48,0.30927,0.46227,325.89,-73.095,109.03,0.088621,1.2841,2.6318e-08,5.3075e-07,0.17318,0.16996,0.28955,6.6468e-05,197.272727,5,99,1.4549
46.184,188.88,0.34805,0.56821,326.16,-73.477,117.71,0.085606,1.1642,3.8733e-08,7.3458e-07,0.1625,0.1598,0.2807,9.4583e-05,222.727273,5,99,1.5828
51.195,207.77,0.38954,0.6847,326.32,-73.535,127.85,0.085301,1.0895,5.6073e-08,9.9532e-07,0.15535,0.15326,0.28025,0.00013184,248.181818,5,98,1.6938
55.519,222.95,0.42747,0.79428,326.62,-73.679,138.93,0.086629,1.0418,7.5854e-08,1.2634e-06,0.15057,0.14882,0.28096,0.00017236,273.636364,5,98,1.7895
59.978,237.84,0.46269,0.89613,326.65,-73.785,147.55,0.090383,1.0192,9.9026e-08,1.5429e-06,0.14869,0.14722,0.286,0.00021705,299.090909,5,98,1.8532
63.782,250.53,0.49625,0.99655,326.82,-74.575,156.6,0.094937,1.0166,1.2656e-07,1.8616e-06,0.14886,0.14747,0.29462,0.00026894,324.545455,5,98,1.9052
67.966,264.3,0.52969,1.098,326.75,-74.405,164.93,0.098981,1.0035,1.571e-07,2.1703e-06,0.14701,0.14583,0.29998,0.00032265,350,5,98,1.962
34.68,100.48,0.13727,0.02973,318.53,-74.374,124.2,1.9154,15.14,1.4004e-09,2.0339e-08,2.1024,2.1192,2.3463,3.3769e-06,70,10,98,0.25273
25.679,67.511,0.18824,0.086795,321.83,-70.64,67.399,1.2989,8.7541,5.5733e-09,7.7849e-08,0.98941,1.0103,0.94787,1.3617e-05,95.454545,10,99,0.4863
28.764,72.905,0.24233,0.16599,323.7,-72.369,68.823,0.88333,5.4991,1.4249e-08,1.8704e-07,0.68962,0.67761,0.63308,3.3874e-05,120.909091,10,98,0.71123
33.311,82.055,0.29859,0.25667,324.73,-72.267,76.427,0.65419,3.8053,2.6907e-08,3.3178e-07,0.53442,0.52201,0.48307,6.1986e-05,146.363636,10,99,0.88989
37.764,90.104,0.35549,0.35104,325.38,-73.089,87.422,0.53478,2.8834,4.3374e-08,5.0146e-07,0.45132,0.4379,0.40203,9.6999e-05,171.818182,10,99,1.0215
42.708,99.595,0.41802,0.45604,326.04,-73.78,96.506,0.46089,2.3345,6.7119e-08,7.3369e-07,0.40397,0.39102,0.36026,0.00014585,197.272727,10,99,1.1378
46.835,107.96,0.4785,0.55999,326.43,-74.701,108.4,0.41796,2.0349,9.6347e-08,1.0112e-06,0.37664,0.36408,0.34027,0.00020483,222.727273,10,98,1.2157
51.585,116.7,0.54177,0.6696,326.64,-73.985,118.63,0.3938,1.8114,1.344e-07,1.3384e-06,0.35713,0.3476,0.32628,0.00027803,248.181818,10,98,1.2875
55.819,125.65,0.60233,0.77469,327.04,-74.815,129.75,0.3825,1.7064,1.8111e-07,1.7397e-06,0.35144,0.34209,0.32844,0.00036658,273.636364,10,99,1.3367
60.311,134.08,0.66547,0.88486,327.34,-75.138,139.37,0.3817,1.6258,2.4057e-07,2.2075e-06,0.34845,0.33994,0.33094,0.00047468,299.090909,10,98,1.3931
64.373,141.51,0.71959,0.97565,327.36,-74.966,148.59,0.3848,1.5713,2.9846e-07,2.6255e-06,0.34699,0.33963,0.33461,0.00057534,324.545455,10,99,1.4152
67.693,148.17,0.77375,1.0722,327.49,-75.398,157.89,0.38411,1.5279,3.6401e-07,3.1037e-06,0.34383,0.33693,0.33779,0.000689,350,10,99,1.4331
89.547,262.51,0.21459,0.016156,327.01,-79.912,377.4,7.8527,45.108,2.2833e-09,1.7071e-08,8.4635,8.3791,18.311,3.886e-06,70,15,99,0.12817
36.179,79.375,0.30899,0.053163,322.9,-71.565,72.575,2.632,12.119,4.2315e-09,4.5157e-08,1.8636,1.856,1.5426,9.3051e-06,95.454545,15,98,0.1945
34.826,72.93,0.40009,0.10831,323.21,-72.352,54.716,1.9942,8.408,1.2281e-08,1.26e-07,1.2984,1.2821,1.0211,2.6832e-05,120.909091,15,99,0.29016
36.308,74.14,0.49758,0.17885,324.19,-74.049,61.752,1.5294,6.1165,2.5595e-08,2.5296e-07,0.99077,0.95877,0.75801,5.514e-05,146.363636,15,98,0.37787
40.128,79.478,0.59232,0.25264,325.04,-73.679,68.473,1.2692,4.7382,4.3422e-08,4.0556e-07,0.82633,0.79966,0.62076,9.1054e-05,171.818182,15,99,0.44503
41.951,80.856,0.69747,0.33867,325.14,-74.684,79.692,1.1045,3.8949,6.7205e-08,6.0145e-07,0.70418,0.67807,0.51804,0.00013865,197.272727,15,98,0.50747
45.879,87.345,0.80067,0.42531,325.67,-74.579,90.429,0.98174,3.3437,9.873e-08,8.5166e-07,0.64487,0.6224,0.47623,0.00019955,222.727273,15,99,0.55167
49.504,91.834,0.90279,0.51163,326.34,-74.567,101.26,0.89986,2.8843,1.3346e-07,1.0951e-06,0.59125,0.57101,0.43263,0.00026367,248.181818,15,99,0.58892
53.411,97.801,1.0123,0.60428,326.59,-75.019,112.95,0.84361,2.6025,1.8125e-07,1.4325e-06,0.56488,0.5461,0.41675,0.00035114,273.636364,15,99,0.62541
56.954,104.13,1.1092,0.68886,326.95,-75.989,124.7,0.79802,2.4213,2.3244e-07,1.7932e-06,0.54904,0.53026,0.41278,0.00044359,299.090909,15,98,0.64025
60.827,109.9,1.2007,0.7669,327.27,-74.977,131.57,0.77966,2.279,2.8845e-07,2.1477e-06,0.53856,0.52317,0.40854,0.00053961,324.545455,15,98,0.66878
63.328,113.97,1.292,0.84654,327.62,-75.834,143.2,0.77997,2.2402,3.5815e-07,2.6067e-06,0.54262,0.52654,0.41661,0.00066211,350,15,98,0.68121
